Image URL,TAGS,GENRE,DIRECTOR,CINEMATOGRAPHER,PRODUCTION DESIGNER,COSTUME DESIGNER,EDITOR,COLORIST,ACTORS,SHOT TIME,TIME PERIOD,COLOR,ASPECT RATIO,FORMAT,FRAME SIZE,SHOT TYPE,LENS SIZE,COMPOSITION,LIGHTING,LIGHTING TYPE,TIME OF DAY,INTERIOR/EXTERIOR,LOCATION TYPE,SET,STORY LOCATION,FILMING LOCATION,CAMERA,LENS,FILM STOCK / RESOLUTION,Editor,Colorist,Actors,Shot Time,Time Period,Color,Aspect Ratio,Format,Frame Size,Shot Type,Lens Size,Composition,Lighting,Lighting Type,Time of Day,Interior/Exterior,Location Type,Set,Story Location,Filming Location,Camera,Lens
https://shotdeck.com/assets/images/stills/smthumb/small_N99FXSVK.jpg,"dance club, dark room, dazed, depressed, depression, disassociated, disassociating, giving up, hopeless, jaded, lifeless, nightclub, pale, sweating, sweaty",Drama,Charlotte Wells,Gregory Oke,Billur Turan,Frank Gallacher,Blair McClendon,Kath Raisch,Paul Mescal,01:32:00,2020s,"Cool, Desaturated, Blue","1.85, Spherical",Film - 35mm,Extreme Close Up,Clean single,Long Lens,Center,Side light,Artificial light,Night,Interior,Location,Night Club,"Earth, Asia, Turkey, Mugla, Fethiye, ..., Mugla, Fethiye","Earth, Asia, Turkey, Mugla, Fethiye, ..., Mugla, Fethiye",Arricam LT,Cooke S4/ i,,,,,,,,,,,,,,,,,,,,,,,
https://shotdeck.com/assets/images/stills/smthumb/small_7L4FJYMO.jpg,"subway station, train, train passengers, standing on train, hands out, cell phone, holding cell phone, looking at cell phone, head forward, looking down, metro","Online Services, Financial Services",Diego Contreras,Oliver Millar,Don Burt,,Dylan Edwards,Joseph Bicknell,,00:00:03,2020s,Cyan,2.39,,Medium Wide,Group shot,Long Lens,"Balanced, Symmetrical",Soft light,Artificial light,Day,Interior,Location,"Subway Station, Platform","Earth, North America, United States of America, Rhode Island, ..., United States of America, Rhode Island","Earth, North America, United States of America, California, Los Angeles, Wilshire/Vermont Station, ..., Los Angeles, Wilshire/Vermont Station",,,,,,,,,,,,,,,,,,,,,,,,,
https://shotdeck.com/assets/images/stills/smthumb/small_GRWSKCKE.jpg,"flower, holding flower, shadow on wall, female silhouette, flat space","Fantasy, Mystery","Maya Deren, Alexander Hammid",Alexander Hammid,,,Maya Deren,,,00:01:33,1940s,"Desaturated, Black and White","1.37, Spherical",Film - 16mm,Medium Close Up,Insert,Medium,Center,"Hard light, High contrast, Silhouette","Daylight, Sunny",Day,Interior,Location,Driveway,"Earth, North America, United States of America, California, Los Angeles, ..., California, Los Angeles","Earth, North America, United States of America, California, West Hollywood, Maya Deren's house, 1466 North Kings Road, ..., West Hollywood, Maya Deren's house, 1466 North Kings Road",Bolex 16mm,,,,,,,,,,,,,,,,,,,,,,,,
https://shotdeck.com/assets/images/stills/smthumb/small_6P01UJU9.jpg,"wife, girlfriend, lover, blonde, pretty, addict, natural lighting, empty store, empty space, shocked, bewildered","Drama, Romance",Terrence Malick,Emmanuel Lubezki,Jack Fisk,Jacqueline West,"Hank Corwin, Brian Berdan, A.J. Edwards, Keith Fraase, Rehman Nizar Ali",Bryan McMahan,Natalie Portman,00:35:10,2010s,,"2.39, Spherical, Super 35",Digital,Close Up,Clean single,Ultra Wide / Fisheye,"Left heavy, Short side","Low contrast, Side light, Edge light",Daylight,Day,Interior,Location,Empty Store," Earth, North America, United States of America, Texas, Austin, ..., Texas, Austin"," Earth, North America, United States of America, Texas, Austin, ..., Texas, Austin","ARRI ALEXA M, Arricam LT, Arriflex 235, Arriflex 435, GoPro, RED Epic",Zeiss Master Primes,"2.8K / 2.8K ArriRaw, 5203/7203 Vision 3 50D, 5213/7213 Vision 3 200T, 5219/7219 Vision 3 500T, Redcode Raw",,,,,,,,,,,,,,,,,,,,,,
https://shotdeck.com/assets/images/stills/smthumb/small_NKDUAK6Z.jpg,"side profile, soaking wet, rain, storm, melancholy, somber, walking, crying","Coming-of-Age, Drama, Family, Small town",Lukas Dhont,Frank van den Eeden,Eve Martin,Manu Verschueren,Alain Dessauvage,Laurens Orij,Eden Dambrine,01:21:57,2020s,"Cool, Desaturated, Blue","1.66, Spherical",Digital,Close Up,Clean single,Medium,Center,Soft light,"Daylight, Overcast",Dusk,Exterior,Location,Road,"Earth, Europe, Belgium, ..., Europe, Belgium","Earth, Europe, Belgium, Flanders, Wetteren, ..., Flanders, Wetteren",ARRI ALEXA Mini,Leitz SUMMILUX-C,,,,,,,,,,,,,,,,,,,,,,,
https://shotdeck.com/assets/images/stills/smthumb/small_O0RU88DQ.jpg,"side profile, soaking wet, rain, storm, melancholy, somber, walking, crying","Coming-of-Age, Drama, Family, Small town",Lukas Dhont,Frank van den Eeden,Eve Martin,Manu Verschueren,,,,,,,,,,,,,,,,,,,,,,,,Alain Dessauvage,Laurens Orij,Eden Dambrine,01:21:57,2020s,"Cool, Desaturated, Blue","1.66, Spherical",Digital,Close Up,Clean single,Medium,Center,Soft light,"Daylight, Overcast",Dusk,Exterior,Location,Road,"Earth, Europe, Belgium, ..., Europe, Belgium","Earth, Europe, Belgium, Flanders, Wetteren, ..., Flanders, Wetteren",ARRI ALEXA Mini,Leitz SUMMILUX-C
https://shotdeck.com/assets/images/stills/smthumb/small_DGT167TS.jpg,"working, sharecropper, lantern, cotton candy sky, early morning, side profile","Horror, Occult, Thriller",Ryan Coogler,Autumn Durald Arkapaw,Hannah Beachler,Ruth E. Carter,Michael P. Shawver,Jim Passon,Miles Caton,00:03:48,1930s,"Mixed, Desaturated","1.78, Anamorphic, Spherical",Film - 65mm,Medium,"Clean single, Low angle","Wide, Long Lens",Center,"Soft light, High contrast, Silhouette, Backlight",Daylight,Dawn,Exterior,Location,Field,"Earth, North America, United States of America, Clarksdale, Mississippi, ..., Clarksdale, Mississippi","Earth, North America, United States of America, Louisiana, Donaldsonville, ..., Louisiana, Donaldsonville","IMAX MKIV Reflex, IMAX-MSM 9802","Panavision Sphero 65mm Lenses, Petzval Lenses",5219/7219 Vision 3 500T,,,,,,,,,,,,,,,,,,,,,,
https://shotdeck.com/assets/images/stills/smthumb/small_EAGHVELU.jpg,"big eyes, froze in fear, iconic, low light, shocked face, surprised look, creepy, scary, scared, frightened, shocked, disbelief, eyes wide, mouth open in shock","Horror, Mystery, Thriller","Jordan Peele, Will Scarbrough",Mike Gioulakis,Ruth de Jong,Kym Barrett,Nicholas Monsour,Michael Hatzer,Madison Curry,01:39:34,1980s,"Cool, Desaturated, Blue","2.39, Spherical",Digital,Close Up,Clean single,Long Lens,Center,"Low contrast, Top light",Artificial light,Night,Interior,Location,Underground Bunker,"Earth, North America, United States, California, Santa Cruz, ..., California, Santa Cruz"," Earth, North America, United States of America, California, ..., United States of America, California","ARRI ALEXA Mini, ARRI ALEXA SXT",Zeiss Master Primes,3.2K / 3.2K ArriRaw,,,,,,,,,,,,,,,,,,,,,,
https://shotdeck.com/assets/images/stills/smthumb/small_N4X4ZA22.jpg,"shades, wearing sunglasses, artist, singer, lying on someone's belly, hand behind head, shot from above, lying on roof, car roof","Narrative, Concept",Crowns & Owls,Luis Perez,Brittany Porter,Daniela Rodriguez,Sebastian Zotoff,Tim Smith,Lil Yachty,00:01:50,2020s,Yellow,"1.78, Spherical",Digital,Medium,"2 shot, Overhead",Ultra Wide / Fisheye,Left heavy,"Soft light, Top light",Artificial light,Night,Exterior,Stage,Highway,"  Earth, North America, United States of America, ..., North America, United States of America","Earth, South America, Colombia, Bogotá, ..., Colombia, Bogotá",ARRI ALEXA Mini,,,,,,,,,,,,,,,,,,,,,,,,
https://shotdeck.com/assets/images/stills/smthumb/small_BAG82O2Q.jpg,"cheap furniture, cheap living, couch bed, depressed, disheveled, giving up, mess, messy room, orange lamp shade, passed out, passed out on the couch, tall lamp, unclean room","Drama, Suburbia, Thriller",Lynne Ramsay,Seamus McGarvey,Judy Becker,Catherine George,Joe Bini,Stuart Fyvie,Tilda Swinton,00:25:56,2000s,"Warm, Saturated, Yellow","2.35, Anamorphic",Film - 35mm,Wide,"2 shot, High angle",Wide,"Balanced, Left heavy",Side light,"Practical light, Tungsten",Night,Interior,Location,"House, Living Room","Earth, North Amercia, United States, Connecticut, ..., United States, Connecticut"," Earth, North America, United States, Connecticut, ..., United States, Connecticut","Panavision Millennium / Millenium XL / XL2, Panavision Platinum, Canon 5D","Canon L-Series, Panavision C series, Panavision E series, Panavision 70-200mm (ATZ)",8573/8673 Eterna 500T,,,,,,,,,,,,,,,,,,,,,,
https://shotdeck.com/assets/images/stills/smthumb/small_K7JGAZN7.jpg,"cabinets, counter, live feed, long hair, looking into lens, pov, surveillance, surveillance camera, suspicious, thermostat, book light",Horror,Lars Klevberg,Brendan Uegama,Dan Hermansen,Jori Woodman,"Tom Elkins, Julia Wong",,Aubrey Plaza,00:34:05,2010s,"Saturated, Green","2.39, Spherical",Digital,Close Up,Clean single,Ultra Wide / Fisheye,Center,Hard light,"Daylight, Artificial light, Practical light, Mixed light",Day,Interior,Stage,Apartment," Earth, North America, United States of America, Illinois, Chicago, ..., Illinois, Chicago"," Earth, North America, Canada, British Columbia, Vancouver, ..., British Columbia, Vancouver",ARRI ALEXA Mini,Leitz SUMMILUX-C,,,,,,,,,,,,,,,,,,,,,,,
